method,display_method,cohort,round,round_index,mean_cd,mean_hd,valid_outputs,success_from_audit,attempts,per_sample_csv
ChatGPT,ChatGPT,Close-loop Workflow,Iteration2,2,0.03651767502402871,0.13458875862889666,118,118,120,results/raw_metrics/geometry/per_sample/close_loop/iteration2/chatgpt_per_sample.csv
ChatGPT,ChatGPT,Close-loop Workflow,Iteration3,3,0.03659125020556155,0.13507842812847123,118,118,120,results/raw_metrics/geometry/per_sample/close_loop/iteration3/chatgpt_per_sample.csv
Qwen,Qwen,Close-loop Workflow,One-shot,0,0.040214802512510056,0.14931974882105445,118,118,120,results/raw_metrics/geometry/per_sample/close_loop/one-shot/qwen_per_sample.csv
Qwen,Qwen,Close-loop Workflow,Iteration1,1,0.04363140624041003,0.15887923189150535,120,120,120,results/raw_metrics/geometry/per_sample/close_loop/iteration1/qwen_per_sample.csv
Qwen,Qwen,Close-loop Workflow,Iteration2,2,0.041535394603612795,0.15494803866265267,120,120,120,results/raw_metrics/geometry/per_sample/close_loop/iteration2/qwen_per_sample.csv
Qwen,Qwen,Close-loop Workflow,Iteration3,3,0.04142597762963605,0.15429504207568423,120,120,120,results/raw_metrics/geometry/per_sample/close_loop/iteration3/qwen_per_sample.csv
Gemini,Gemini,Close-loop Workflow,One-shot,0,0.04231308039962392,0.16488928116830393,94,94,120,results/raw_metrics/geometry/per_sample/close_loop/one-shot/gemini_per_sample.csv
Gemini,Gemini,Close-loop Workflow,Iteration1,1,0.04547886714738637,0.17050558875128255,110,110,120,results/raw_metrics/geometry/per_sample/close_loop/iteration1/gemini_per_sample.csv
Gemini,Gemini,Close-loop Workflow,Iteration2,2,0.04740171821602035,0.168687640967899,113,113,120,results/raw_metrics/geometry/per_sample/close_loop/iteration2/gemini_per_sample.csv
Gemini,Gemini,Close-loop Workflow,Iteration3,3,0.044928632007201756,0.16341863898436423,116,116,120,results/raw_metrics/geometry/per_sample/close_loop/iteration3/gemini_per_sample.csv
